datetime,S&P500,Apple,Alphabet,Facebook
2021-09-01 15:31:00,4531.19,153.39,2904.34,379.79
2021-09-01 15:32:00,4530.66,153.94,2905.8,380.77
2021-09-01 15:33:00,4531.47,154.32,2910.81,380.85
2021-09-01 15:34:00,4530.12,154.28,2908.87,380.98
2021-09-01 15:35:00,4529.86,154.57,2910.77,381.35
2021-09-01 15:36:00,4529.26,154.76,2910.08,381.27
2021-09-01 15:37:00,4528.63,154.46,2909.51,381.36
2021-09-01 15:38:00,4528.61,154.45,2908.72,381.15
2021-09-01 15:39:00,4528.83,154.23,2906.24,380.88
2021-09-01 15:40:00,4527.89,154.55,2909.02,381.14
2021-09-01 15:41:00,4528.18,154.67,2910.0,381.11
2021-09-01 15:42:00,4526.18,154.4,2908.15,380.87
2021-09-01 15:43:00,4527.54,154.36,2909.17,381.22
2021-09-01 15:44:00,4529.01,154.43,2913.89,381.49
2021-09-01 15:45:00,4529.96,154.45,2914.27,381.25
2021-09-01 15:46:00,4530.14,154.42,2914.74,381.42
2021-09-01 15:47:00,4530.97,154.51,2918.0,381.72
2021-09-01 15:48:00,4531.45,154.55,2918.12,381.88
2021-09-01 15:49:00,4531.28,154.53,2919.31,381.89
2021-09-01 15:50:00,4531.88,154.5,2920.32,381.94
2021-09-01 15:51:00,4531.18,154.47,2919.19,381.63
2021-09-01 15:52:00,4529.87,154.43,2918.39,381.35
2021-09-01 15:53:00,4531.31,154.6,2917.98,381.49
2021-09-01 15:54:00,4531.8,154.73,2919.73,381.73
2021-09-01 15:55:00,4530.06,154.54,2919.18,381.4
2021-09-01 15:56:00,4528.68,154.52,2919.13,381.46
2021-09-01 15:57:00,4524.74,154.07,2916.1,380.89
2021-09-01 15:58:00,4524.59,154.03,2914.4,381.12
2021-09-01 15:59:00,4526.58,154.13,2914.47,381.1
2021-09-01 16:00:00,4526.88,154.35,2918.82,381.32
2021-09-01 16:01:00,4528.16,154.32,2917.7,380.82
2021-09-01 16:02:00,4529.78,154.37,2919.16,381.13
2021-09-01 16:03:00,4529.53,154.26,2914.6,380.69
2021-09-01 16:04:00,4529.57,154.12,2910.26,380.05
