q=0.8,q=1,q=1.4
-0.025416467552503264,-0.008457137498936618,-0.04639974323086449
-0.0438885078607143,-0.011892730389405415,0.037544588191281036
-0.041041228171451394,-0.01197912922285127,-0.006984396295848683
-0.02820930545834699,-0.012354974309801037,0.003452885052183774
-0.025821903679087654,-0.011228550419218664,-0.029955348059644393
-0.030024809103025518,-0.01691902783977639,-0.05359056270134488
-0.02881875677516632,-0.014158017573777215,-0.06448830362273839
-0.019195349359904412,-0.013794854792706701,-0.02999747701568367
-0.028732155786087787,-0.014790204436280874,-0.0357374211126853
-0.022260415707080483,-0.016131848145590766,-0.013512879817653811
-0.026495057769807318,-0.0076939310121701965,0.01010698012638045
-0.020795624321578998,-0.009363148476978722,-0.02368643915457369
-0.0312883813252256,-0.009224668246190504,-0.017907670177550017
-0.01871612463421002,-0.009283086906862081,-0.009638744790038345
-0.028788883219675654,-0.005641975694658186,-0.030876173285037112
-0.03613118669818505,-0.0054113719061774646,0.0014046852111277985
-0.028946879760724187,-0.012870207685722335,0.03237848439010804
-0.03676984430038033,-0.010185646547597571,-0.0036068036039011986
-0.025347128158898613,-0.015152246907774725,-0.04370929154308101
-0.02892380845628395,-0.008662682266418642,-0.0556558852481146
-0.03411272782977903,-0.012397864561933147,-0.010532432464287922
-0.028528428676480644,-0.010582349118436696,-0.035776654261951535
-0.027574026519914696,-0.014315364076765036,-0.024052873873785074
-0.02753584500825923,-0.013147970039824486,-0.036614136063946034
-0.029346817701650707,-0.011200214167985223,-0.01633193485196216
-0.028104649303571705,-0.01084069738647031,-0.025033382278081717
-0.02874818882705199,-0.011679793153234641,-0.05379693082755921
-0.031206674701820702,-0.017090760938117455,-0.06484151180421804
-0.021104254607450912,-0.016028418588120985,-0.045141676625178206
-0.034591556386743605,-0.016132565394627818,-0.06203546526597847
-0.024307922533438386,-0.013642565990977573,-0.06895638008720084
-0.025137666366191525,-0.01453273648652953,-0.04832376499220459
-0.026528964258574206,-0.0188540349119819,-0.016703740789665744
-0.03076904600422381,-0.01631588337301082,-0.02636818375066241
-0.024158340837061587,-0.0162491564900904,-0.05061850810037072
-0.027988560667552065,-0.014949325680134962,-0.07307605357070202
-0.02936887112522868,-0.017040456035317675,-0.04669724395930075
-0.022920822631306237,-0.017778810294970526,-0.050054035027471855
-0.029075517948200513,-0.020129730381682975,-0.006503025924502026
-0.026511097881353862,-0.01623147762524013,-0.041349134311985836
-0.027769267455283853,-0.014192155459852529,-0.043454411630420964
-0.022226160863908717,-0.014722153800448723,0.0024114287267309464
-0.0261223281986247,-0.014457042050594282,-0.007687812257842097
-0.025585204811790163,-0.014697850453728734,-0.01702997740900969
-0.03422857369096732,-0.011452967885873022,-0.04439502505903192
-0.03207751501753364,-0.010341152645963803,-0.019556525198566987
