q=0.8,q=1,q=1.4
-0.12584083292656345,-0.06367311873385972,-0.04444446101027921
-0.12783074554190677,-0.06157269869534332,-0.03201865611528376
-0.1236019415069265,-0.054306491311677973,-0.02060456785303444
-0.12029964599526721,-0.05683114191437255,-0.026156687043332738
-0.12550025531999864,-0.061477423775102125,-0.0223297550003565
-0.1261152636736469,-0.06212429266852837,-0.02056182458721878
-0.12418016667363929,-0.06053375644892611,-0.022638562409852625
-0.12437813980245238,-0.061370322107400455,-0.026178979341118236
-0.12351108107895925,-0.06138268794894941,-0.024150249331697182
-0.12322824443224079,-0.06072902580068984,-0.02549999269514558
-0.12134676431700342,-0.05962239346081333,-0.025483471159276405
-0.12386735395408977,-0.062400537215381746,-0.02645629173159847
-0.12300149326946297,-0.060949320239387816,-0.024606921010345673
-0.12129527593376821,-0.057811187475010684,-0.019586727496147205
-0.12219315383058671,-0.059696756436011356,-0.023645308732398007
-0.12490760625691877,-0.062088402416392796,-0.024644507412816097
-0.12564337174398332,-0.0639932203838498,-0.028606625538657227
-0.12356712603028086,-0.06184248917775648,-0.026321715478168528
-0.12421158084138284,-0.06404235711660533,-0.030149598635638597
-0.12488309097410166,-0.06432368304067637,-0.029008652373860855
-0.12809231671310073,-0.06697195596672856,-0.03302385999519686
-0.12906276745302847,-0.06885785488153573,-0.037832017621980185
-0.12892305306950647,-0.06897644697368577,-0.03753687874841205
-0.1300805220293526,-0.0711038226322458,-0.04088656166693738
-0.13128868696421137,-0.07170760940724819,-0.04150197332127448
-0.1322142499217378,-0.07196567157411948,-0.04135910580301072
-0.13163108689737157,-0.0715197095654716,-0.04148865156150805
-0.13229024086021468,-0.07254746023379965,-0.04263980087852559
-0.13390409410278892,-0.07485648677893408,-0.0451316745905288
-0.1350311673929454,-0.07645860406200455,-0.0487485050791463
-0.136089224018896,-0.07724205204253565,-0.049173966820298176
-0.1362212060784458,-0.07775307542355847,-0.04979245397548482
-0.13513346186966402,-0.07588659000505515,-0.04733934590686317
-0.13499263228555947,-0.07527032104611209,-0.04683100644285787
-0.1350796904282774,-0.07649314132916629,-0.048152066592393794
-0.13619779767872586,-0.07745353048350267,-0.04900159470328447
-0.13580355169025893,-0.07677934847990997,-0.04844874494060036
-0.1346461279297273,-0.0761745693565743,-0.04802614320666265
-0.135536592473251,-0.07656430503826783,-0.04835749316738003
-0.13488482612082464,-0.07647288455529377,-0.04863867313463999
-0.13612556785172814,-0.07821415355377326,-0.050087562780888106
-0.13466044976719616,-0.07649522941247255,-0.04769562103636815
-0.13528953057303283,-0.07724350219081089,-0.04821584857725014
-0.13416050880016428,-0.0762601098510558,-0.04702102984150258
-0.13449940682858852,-0.07660390185063193,-0.0465993084861438
-0.13444730695668738,-0.0767699583901944,-0.0469235309648397
