q=0.8,q=1,q=1.4
-0.03121943050022935,-0.02598841967945731,-0.027881547554279962
-0.024574772257871302,-0.01842124861002503,-0.018768781134184565
-0.021092056633179368,-0.021719269097893346,-0.01889702931395476
-0.03188847528811323,-0.02746668314560452,-0.025415871847300764
-0.030839288076840887,-0.029750295660342374,-0.05076666955359599
-0.029156292903657288,-0.03633414960924597,-0.044046960010817315
-0.04083286687496468,-0.029058007947952547,-0.01492383122472063
-0.025505574996721236,-0.02593058333756204,-0.023157744579187067
-0.030460413746411064,-0.030892450358599888,-0.025593223971355883
-0.029551326604746464,-0.025522073167650206,-0.03083770493487492
-0.0360407243541232,-0.030923547068688606,-0.030025544506635526
-0.04034751315938223,-0.03470171201057326,-0.03554490405065991
-0.03685365015442699,-0.03176564967515816,-0.0389557454395657
-0.03444091364666235,-0.03083389670751302,-0.04255899498723181
-0.03840108147329602,-0.032404171296377626,-0.030956646270169585
-0.0404309553479294,-0.027679308750620635,-0.03320365802802172
-0.03859320178508341,-0.03162406449016686,-0.03911726356442813
-0.043074795000450194,-0.03232852267611719,-0.0214035042024463
-0.044776951719647684,-0.0344072655515788,-0.022312718720023383
-0.03950697982233464,-0.030978386403326397,-0.027473735304255342
-0.03617365447827581,-0.036645424081733324,-0.042047251679633746
-0.03684905974054686,-0.031826064679982835,-0.0389130418992778
-0.0432963719671875,-0.03757334534043366,-0.03755427850070703
-0.035799753577492766,-0.03451162353495363,-0.04205886419158844
-0.042136292279494114,-0.035787831083453625,-0.032713334865150046
-0.03878148163297368,-0.037079563541489335,-0.035799320250482936
-0.03674664745567924,-0.027643727491877712,-0.03374777587065125
-0.0383269367074206,-0.037326356504195246,-0.05377300235473825
-0.04176021288063936,-0.03625878127943594,-0.05039088310518025
-0.04262360301702017,-0.03842228830880856,-0.04197061169614358
-0.04011053765799488,-0.036488467382611134,-0.01512907886162651
-0.037196909216817176,-0.03875075489315094,-0.04954759830944511
-0.045300220461712115,-0.038733978528327384,-0.04593492512705666
-0.046408212219688494,-0.03896102353088793,-0.04728183199794245
-0.04400265888984478,-0.03804797698428786,-0.04610948477579058
-0.04090265104412083,-0.039333313660513625,-0.05116567001186212
-0.04366523195751171,-0.031880097143705655,-0.04277236697866016
-0.04141908291610008,-0.033287551334986176,-0.028363444956632122
-0.04250125454474585,-0.03309392887783247,-0.04387290918732134
-0.04216474680706739,-0.03611006192251409,-0.02167776296053603
-0.04045318415899857,-0.03349880775816416,-0.04045404045126588
-0.04513320611950178,-0.03671905996152702,-0.03332359931530249
-0.04573541424466043,-0.03697156312122729,-0.04811910049131285
-0.04983833810130989,-0.034482273294734966,-0.04428881694427389
-0.04380096752974083,-0.03318875980145464,-0.043029076670478617
-0.04430397428453148,-0.03564758468592544,-0.03608861335894886
