q=0.8,q=1,q=1.4
-0.10574449061359559,-0.06558768156104833,-0.07208810375498587
-0.10235915784726757,-0.09153413138473354,-0.12321843123318388
-0.12067031159414654,-0.10292765516319946,-0.16034149905828343
-0.12443584120959628,-0.08407203025004151,-0.1399240286697392
-0.13755905232321197,-0.09587546513409961,-0.12722326139587636
-0.13601449755346806,-0.10003160352106022,-0.11040510322230546
-0.12327006436854049,-0.10856859211035896,-0.18082892314330223
-0.12958124610067756,-0.10549850151304696,-0.13913996140650653
-0.1392752805796036,-0.11306373832454852,-0.14165214547859506
-0.13967925097556133,-0.1145239120338104,-0.17187295002586467
-0.14410379823965513,-0.10586352337333693,-0.20547263984948216
-0.1459399748169261,-0.10319133901284516,-0.1412462047380174
-0.12887881340860474,-0.11288374753245023,-0.15976770398907547
-0.14304901437953532,-0.10667241118854065,-0.1932407247074437
-0.14300462329887864,-0.11814747859430952,-0.17261554172171145
-0.15166392670654716,-0.12088083608446709,-0.1734127565051864
-0.14256084686400072,-0.12614084963304606,-0.12317078713185481
-0.15204978896773014,-0.12484045743981653,-0.19523357678976794
-0.14220099613029902,-0.12619115005429649,-0.1780336057226677
-0.1516333159528429,-0.12674761463155448,-0.1939024850554958
-0.15036659070535308,-0.1260419805456081,-0.1957089886917558
-0.15039489079134682,-0.13177896911160758,-0.1634852595702938
-0.14966091697332473,-0.1261840964989176,-0.13489427487911598
-0.15090578686881173,-0.1361025931409543,-0.2028731052207675
-0.15655296711891253,-0.13459892059702838,-0.15748062566404997
-0.15709389281098396,-0.1305979500467913,-0.18035871801232162
-0.14250136865601348,-0.14104583764962797,-0.20834139654196093
-0.16334521662523827,-0.1318383043195226,-0.19208565268185396
-0.15517717322727265,-0.13356097843755066,-0.21772337658394747
-0.1477872285280597,-0.13508556361754387,-0.210505734618728
-0.1529633016885299,-0.13954783936673465,-0.22213758108549087
-0.15249464044816108,-0.13727830872722535,-0.21574291395965162
-0.1608794046239126,-0.13565998372311583,-0.20361560194906048
-0.16430335100383786,-0.14252217743503337,-0.19480347684549315
-0.155368405239372,-0.13614355466037154,-0.20126964609341513
-0.1608266915779737,-0.14253667899829026,-0.2137262437789076
-0.16524964706342615,-0.14971523053986147,-0.20888740422145702
-0.1599972661282365,-0.134653247268389,-0.18102909898023256
-0.1610533583973961,-0.13838788306701844,-0.2015197494031753
-0.16481610332222374,-0.13831452852611648,-0.22299024866546802
-0.1619234053380083,-0.14223351328421074,-0.18961452148332825
-0.1657504474068432,-0.14596853075688898,-0.1712840912495608
-0.1752349753143818,-0.1351125532087991,-0.20516353408791588
-0.1592126931472606,-0.13535579186747526,-0.21021655106299164
-0.16397774779240848,-0.12921299800428443,-0.1926723760024842
-0.17852359836419396,-0.1367165602526086,-0.20503039051070715
