q=0.8,q=1,q=1.4
-0.5065375406726389,-0.19412465381928712,-0.0056301240631952965
-0.499192562444847,-0.19175425326141493,-0.017838797480813184
-0.5024313365426991,-0.19062710584596942,-0.022335568631547176
-0.5083330052419726,-0.19618797839889623,-0.02074287639958783
-0.5085924115501896,-0.19791542237418014,-0.015340632273030508
-0.5038987541796232,-0.19941788439556518,-0.015074981201863125
-0.5030720988701631,-0.2017301998892691,-0.03030291505452709
-0.4977303032963363,-0.20134866340795554,-0.03180356160108033
-0.5021033432152677,-0.20466285380589255,-0.034324616141631736
-0.5006400651834042,-0.20214089091967935,-0.03393721424862406
-0.5034493608052486,-0.20533067861210696,-0.04128288551753201
-0.5070587927867862,-0.2065256183793025,-0.04419684361344167
-0.5043994537127645,-0.2083075253136215,-0.045238730093672075
-0.5037178647724971,-0.2078820871207725,-0.0470911080875851
-0.5054613403803927,-0.21082251013423559,-0.052671211343380264
-0.5061194723869562,-0.2133125196564336,-0.056360876355981304
-0.5062142087478563,-0.21552110380642375,-0.06041409122823893
-0.5069666231992116,-0.2160624677014198,-0.0615990668885118
-0.5093531678363803,-0.21802698717567637,-0.0642412307261111
-0.5123083996294469,-0.2183198083589275,-0.061630015361302526
-0.5120701620821109,-0.21965670533722204,-0.06546123146091531
-0.5107896672197612,-0.21956023052375429,-0.06491085728484336
-0.5087407117952054,-0.21830370118794207,-0.06506195408303483
-0.5078831886638113,-0.2180447501501277,-0.06373383973494384
-0.5070082543290582,-0.21885262559656837,-0.06613451865324294
-0.5082912525553809,-0.21869247741751252,-0.06493091328731282
-0.5086430376952435,-0.21872130037588988,-0.06492143922098847
-0.5068288962372876,-0.21879871087364933,-0.06613755974667157
-0.5078763773112698,-0.21901257196890356,-0.06669199457844854
-0.5071675571575653,-0.2199839561243735,-0.07008428687959167
-0.5087083250123428,-0.22110368735215502,-0.07215075313950337
-0.5081496453003638,-0.22252164234286909,-0.07424145546173833
-0.5081336923935709,-0.2226435653341099,-0.0754471437273665
-0.5096617334113205,-0.22324905132240502,-0.07486663905303459
-0.5098074261998207,-0.22468470257115314,-0.07713830511821129
-0.5091263140710893,-0.22467013556251203,-0.07643263943870693
-0.5067781151264086,-0.22350834481983384,-0.07541150266713004
-0.5059032526953757,-0.22267790829484113,-0.0766956881636105
-0.5067180475094162,-0.22349782580428723,-0.07697352175659233
-0.5054203787784388,-0.22364659168480472,-0.07659268702779798
-0.5070158784536076,-0.22497801253445004,-0.07947990946387762
-0.5076940686251419,-0.22524135984706106,-0.0798400333715108
-0.5077318066544692,-0.2250096171514926,-0.07835483456511838
-0.5065943773485557,-0.22538120687633523,-0.07816906952647429
-0.505108961316239,-0.22447699750046013,-0.0780442621913977
-0.5036782900806429,-0.22451564084465048,-0.07882058057288788
