q=0.8,q=1,q=1.4
-0.052411946341990756,-0.08206653446095658,-0.14614735358279773
-0.09603297058896487,-0.09826944227884127,-0.13539237279094607
-0.09352187810848989,-0.10844415682004183,-0.16999169653553992
-0.12776795766866655,-0.11233155267539274,-0.11829364763042349
-0.11975743658072702,-0.10919841055486046,-0.18550531657828628
-0.09904042811117364,-0.1207310024172088,-0.19849209933968837
-0.10906802308042529,-0.10512821066641465,-0.15776885968606535
-0.1051860480858906,-0.12255792435909996,-0.17502726700544002
-0.09887159494920894,-0.12132115096991924,-0.20043837976725598
-0.11431289036392656,-0.11964123065882148,-0.21001926832436624
-0.1219048502313882,-0.12780536941940568,-0.1949974415141753
-0.11770100571688857,-0.12627764716098255,-0.19827097112797532
-0.11870722132172773,-0.12816593788149078,-0.21585984518259238
-0.11558084291838355,-0.11763692538843884,-0.19968553814809553
-0.12407073717329098,-0.12704573246976025,-0.21928869136576168
-0.11653546455528385,-0.13275117252852908,-0.18921508390795339
-0.12677081916444877,-0.13097374361545633,-0.2044956805416973
-0.1319322906590017,-0.13905645763195906,-0.20242289669886304
-0.13182021124661247,-0.13623298010308815,-0.19375898992426954
-0.14184599967407507,-0.140740730093178,-0.18524598285316074
-0.13590801198330382,-0.14428119693700125,-0.1785075145590227
-0.13365232684549966,-0.14246455076839482,-0.20961424585379262
-0.12414096320608792,-0.14388944807307524,-0.19299476463955045
-0.13155014117222663,-0.1464526512164568,-0.21923951532740205
-0.12723716310939182,-0.14443495101197357,-0.21114089686646054
-0.12412024887909467,-0.14650658721892995,-0.2551514452660939
-0.13797135688219697,-0.14783101356943007,-0.21428460529728
-0.1373454220687762,-0.14127617923045221,-0.22909067031563524
-0.1373639144250447,-0.1489941017053411,-0.22949943649653903
-0.14186651013567086,-0.15026828764332123,-0.26697249761654973
-0.1441733497409956,-0.1550177122192693,-0.27267139839560883
-0.14584657579425908,-0.1611864418163549,-0.23585841444953104
-0.14692225077047283,-0.1529430639142717,-0.24041019732031543
-0.13918738587855017,-0.15010987327195835,-0.19811222673578044
-0.14785408733478533,-0.1557539977716047,-0.2278652347503396
-0.13324000461498997,-0.1539507515769003,-0.21782747473315567
-0.15301358382649255,-0.15281260359491,-0.20154607241110511
-0.13661650747010157,-0.15530247279875198,-0.2738815461620021
-0.14673004110613874,-0.1606639217461847,-0.23320568371945427
-0.14241753533555368,-0.16235852122757422,-0.2537494867042014
-0.13838491755421245,-0.1602542195237504,-0.24661438763386911
-0.1490548845720312,-0.15805238805935318,-0.21783233400570623
-0.14231394342834136,-0.15899878031613923,-0.22458042904654008
-0.1393740745851062,-0.1602690753279319,-0.2308593130292067
-0.1496112663629816,-0.16084280542200702,-0.2706619126910681
-0.15659749705263692,-0.1644116215167486,-0.22073337608701138
