q=0.8,q=1,q=1.4
-0.22319819239621097,-0.10478268715515071,-0.09788015412778606
-0.23147585001655102,-0.10575926858893325,-0.1625622377274354
-0.22902385659229196,-0.10750318393808556,-0.11430516238907273
-0.24731743387220462,-0.12077137405564997,-0.13134317287522634
-0.24862429171788136,-0.12644975379328116,-0.17181467649107418
-0.24014687784066524,-0.11264065201643092,-0.11347011070780866
-0.2578560693865768,-0.12317208782198463,-0.11529564872697762
-0.23278664783597947,-0.1289785153685301,-0.10462215507473616
-0.24230321451328507,-0.12291446133215089,-0.1552373878250819
-0.24912729877001993,-0.13001363480402972,-0.14832167445469224
-0.24303340876464574,-0.13056726172425925,-0.16080441811908486
-0.2453059348971962,-0.12314136743367499,-0.12923147373847854
-0.2635518797132619,-0.12308415071206724,-0.1234449354287932
-0.2532705513255564,-0.13005999594131623,-0.12188316263979004
-0.24520947472434784,-0.13276742333889047,-0.11136739737982282
-0.26098798924957123,-0.13215065082048483,-0.09300332466857242
-0.26119947820212275,-0.1306525984482647,-0.11436593779976079
-0.24919561177124905,-0.13707892856731974,-0.15875136096199327
-0.25349177498289066,-0.13279209646762524,-0.07967196212055683
-0.25137651244283177,-0.1285539919438321,-0.15026196501959532
-0.26177913638676387,-0.1434314536274215,-0.16993809538622884
-0.2620722853827644,-0.14006561348972468,-0.17060914268314775
-0.2637790889621314,-0.1430375824192467,-0.1191881362849756
-0.26216473660706185,-0.145570445597329,-0.18204064929205543
-0.27553387247399286,-0.14685861255459542,-0.1854146872028224
-0.2749289061137574,-0.1350817298487712,-0.11149429826416224
-0.2587058800047046,-0.1435206417432653,-0.17996326715275046
-0.25890307611820873,-0.1390575938871237,-0.18397452702894412
-0.2687626952898299,-0.14291748194206377,-0.14780125083234452
-0.26842759959300366,-0.13688150914826025,-0.15426624233245434
-0.2668165875863835,-0.14521634105675219,-0.12192328310730005
-0.26447370705386675,-0.13569843223493194,-0.15748750035775316
-0.2697168281839879,-0.1379788248682985,-0.1614091360330221
-0.2662327481436648,-0.15306143641057446,-0.1449214078329888
-0.26446703355568246,-0.13852076275394154,-0.16072518198151897
-0.26181109143241343,-0.1443089688590291,-0.14642219227847875
-0.2716461638483594,-0.1532403321677407,-0.16066232659493807
-0.26316974888818834,-0.14706604940710122,-0.17621003299764482
-0.2658329008543845,-0.15021993550823254,-0.15571398502358846
-0.2682907085282551,-0.14131924901705162,-0.15663272107754267
-0.255127144159907,-0.1543325992132054,-0.1510510747572269
-0.2619704163327867,-0.1558172527332431,-0.17583700492048138
-0.26223550108890237,-0.14827609576955325,-0.12119681393210158
-0.26807354186008325,-0.16357127150614303,-0.1158648544298515
-0.26375629784857324,-0.14743565558140403,-0.1813035892763537
-0.2669640842709242,-0.14446860951091622,-0.17687861813680428
