q=0.8,q=1,q=1.4
-0.2747767174116049,-0.18295472457491258,-0.10112893994233474
-0.2761047229257514,-0.1902758270976861,-0.1160270443927871
-0.2794586407821953,-0.19754833232886426,-0.129382263528818
-0.27692425144705624,-0.20130343899428738,-0.1381777030344935
-0.27503550306997226,-0.20086372343892833,-0.14226014504404105
-0.2711405484627747,-0.20241847333513618,-0.14553231284138235
-0.2710451762973207,-0.20250150822035806,-0.1477736018751017
-0.27467801763946653,-0.20607848972366583,-0.1511521262893325
-0.2736727270512773,-0.20562027201675193,-0.15208911179391293
-0.26963153617502655,-0.2043422587967001,-0.15261250090970435
-0.26826304655476463,-0.2050629304381033,-0.15472573380109367
-0.26660967538406055,-0.20553344551771602,-0.15852821177603715
-0.26474463281989813,-0.2039224405204294,-0.15766149347592773
-0.26490864507317724,-0.20446555999222227,-0.16051614578057638
-0.26552167735265186,-0.20500173001609312,-0.1619408074865234
-0.26181005648637523,-0.20306240985258484,-0.1619563260898147
-0.26115486976440394,-0.20415709595783937,-0.16515539320196382
-0.26316917866621736,-0.20634048854145703,-0.16724659824528487
-0.2585065432564022,-0.2033928941998866,-0.16736208021004018
-0.2584618627472395,-0.20349964810499444,-0.167286300035272
-0.2583895122101296,-0.2054253972016582,-0.1718733625024882
-0.2563747038153039,-0.2038390450306764,-0.16924491725364987
-0.2570549148655772,-0.2048341870556598,-0.17111224783675993
-0.2573456444253779,-0.20522473854308032,-0.17278938971045932
-0.25660877779584723,-0.20499236933529374,-0.173741798863297
-0.2571108286263666,-0.20573540802136137,-0.1751080410665793
-0.2547281417148852,-0.20380433706461787,-0.17371347043722096
-0.25374917621653736,-0.20467985390959598,-0.17614350711532722
-0.2543124778339205,-0.2042349775448642,-0.1751174385070584
-0.2537007474365538,-0.20438212734038785,-0.17672578108099657
-0.2533001578055405,-0.20317985279890394,-0.17492457886596924
-0.25349911211164056,-0.20463024029061216,-0.1773654417800259
-0.25160265739777543,-0.2034211444885372,-0.1771758097972267
-0.25248559262045944,-0.20377757094637872,-0.17757754302554218
-0.25102265341885044,-0.20231834581423414,-0.17634677969904544
-0.24919600478352066,-0.20173993236559085,-0.17681032353647197
-0.24945509730038395,-0.20355955672096826,-0.18038016775649623
-0.24871514744631185,-0.2029007026257048,-0.1803293364973797
-0.24652543849091302,-0.20121145728598577,-0.17895963269378967
-0.2460529585780833,-0.20071195552721122,-0.17814750744543062
-0.24496929623462194,-0.19959325503899095,-0.17733295947811456
-0.2453697162633972,-0.19952266412146002,-0.17712530444588026
-0.2438635678163692,-0.19848632010736367,-0.1762632129643933
-0.24286894928649616,-0.19781908278713445,-0.17589648957630288
-0.24197899323277028,-0.19651992069631774,-0.17450486934377807
-0.241014911219672,-0.1952692028286549,-0.17309913185901138
