q=0.8,q=1,q=1.4
-0.29651264038874814,-0.2999864262805687,-0.2897409416653147
-0.2996958568345818,-0.30599748439428254,-0.3108698363723832
-0.2979502471330733,-0.3050967342194042,-0.3153662001604758
-0.3082727041554918,-0.3127872917775463,-0.30367018221397757
-0.302895016517013,-0.3084969096697634,-0.3040593679465573
-0.2974441459857573,-0.31299379804271155,-0.3122968807023483
-0.301941883715223,-0.31627764817372395,-0.3102596810009999
-0.30234412971586977,-0.31152950391544465,-0.31325892487318896
-0.3042802167476708,-0.3160436973262364,-0.3201319396737432
-0.307748132508614,-0.3144052319632209,-0.3145700992694742
-0.301709929677493,-0.31465132870899026,-0.31014225243121274
-0.302965715233924,-0.31307636484327617,-0.32310800511869786
-0.31054385713886035,-0.32154103845427784,-0.3287158486044177
-0.30606914664262064,-0.3194039145533196,-0.32295926702171585
-0.3075010036187038,-0.3205662472578297,-0.3280529709536921
-0.3051884909227951,-0.3159518097020708,-0.3318373260217129
-0.30758707192414647,-0.3206161474834772,-0.32566925658629486
-0.30690961175731246,-0.31837746229238917,-0.3211461748229567
-0.3009469623063623,-0.31739713516003576,-0.3331774433016079
-0.30307185696034367,-0.3126285972625169,-0.3205620688933877
-0.30777026148940223,-0.31381773615468944,-0.32440726722343527
-0.3049445697360156,-0.3178218547567724,-0.3233136583467484
-0.3052557413936441,-0.3163511664226206,-0.3245251724516578
-0.30004351141589325,-0.3193356951325299,-0.3308049342672703
-0.2981837304084394,-0.31563854291585614,-0.3230951379716558
-0.3008853867797896,-0.3172310644942513,-0.32444343502329076
-0.2996620467384403,-0.3175098622585608,-0.32608422077236554
-0.30373427548719434,-0.3195465993576647,-0.3300682568770412
-0.3022639445963904,-0.3192752900800855,-0.3287143851062453
-0.3014036276048131,-0.31480951297055526,-0.3346326373577142
-0.30205061862906746,-0.3122103436447361,-0.3285275485130654
-0.29764118403500817,-0.3125088349862466,-0.32201628444175867
-0.2978510356156647,-0.31349907527482657,-0.32480136398936565
-0.29413933222419786,-0.3089039073715085,-0.3232583317381241
-0.30403064586431583,-0.31421798618740837,-0.3320684490539705
-0.29465291563218443,-0.31027051165322916,-0.32255707665215283
-0.29860230984832015,-0.3088406002031334,-0.32737594004137804
-0.30118958167614807,-0.3130805600754272,-0.31859150017078264
-0.29680565404697035,-0.31057890698788526,-0.32085024555475883
-0.28978864658202497,-0.3105039607902427,-0.3105295816601412
-0.29232789056054287,-0.3099578490604742,-0.32076776055854594
-0.2984044938791257,-0.30591175415945315,-0.3174009571064076
-0.2919517393223501,-0.3089526898270236,-0.3272912437011186
-0.2918591025584476,-0.30880819508222856,-0.32240573157862684
-0.2911409274445589,-0.3066484703717691,-0.32350660162416744
-0.29082704640423174,-0.3081754285562823,-0.322372210867222
