q=0.8,q=1,q=1.4
-0.4158089468820023,-0.48133039702941005,-0.5125437932862624
-0.4156973030961595,-0.47582098290553887,-0.5015993906452891
-0.40317037386492416,-0.4702672788858635,-0.500955893736517
-0.40215387704549244,-0.4615462791756215,-0.49357016547676835
-0.39399104168191457,-0.45490527186263563,-0.46926998033497824
-0.38706291248741564,-0.44886111012110774,-0.4742952228122874
-0.3865567777434791,-0.4445810711063345,-0.471269753568194
-0.39650918725001105,-0.43943555866400885,-0.46271979410636277
-0.3838268523649475,-0.4373062683474629,-0.4651940206314933
-0.382486462696356,-0.43623489033041807,-0.45914311898802396
-0.3837193964464518,-0.4356266819153234,-0.46308106186753406
-0.37500535100878096,-0.42903901665703614,-0.4409709217683542
-0.37448929296283495,-0.4271262982098065,-0.44866631475603214
-0.37111051186204236,-0.4237061206020556,-0.44708302710727565
-0.3713834219575247,-0.4207692548042914,-0.4470250600882295
-0.36608142752940154,-0.41610119388425204,-0.45073546698017
-0.36649653769471513,-0.41491582333801347,-0.4459873821448923
-0.35915127227880816,-0.4151232937285343,-0.4444761551732057
-0.35540789469903444,-0.4092369513791638,-0.4419021543460886
-0.3546289340287885,-0.40639010358126626,-0.43307977326870173
-0.35639210137539834,-0.4037589347497317,-0.4338588093124187
-0.3508522305307906,-0.40141023845650636,-0.4303449267428121
-0.34675598464254875,-0.4015423734159995,-0.4319768089170921
-0.3512183087322214,-0.39945184348678,-0.4222712279012839
-0.34752139432147544,-0.3976010259659688,-0.432755322791067
-0.3470617237510112,-0.395591882336376,-0.41621954099037595
-0.3460456576407225,-0.3923051463894325,-0.4240843779007335
-0.34375816925501823,-0.39018324667895143,-0.42256720405404025
-0.34391963011864135,-0.39103530174081413,-0.42191095443240556
-0.34604854603517765,-0.3895752898516349,-0.42000870879088836
-0.3405180946960584,-0.387168758017026,-0.4172588899864422
-0.3383771307873431,-0.3886641804763826,-0.42432565493990637
-0.3401493040924777,-0.3853250138297568,-0.41510871736677757
-0.3363420482999331,-0.38439169831121234,-0.4169241539039632
-0.33588444558774455,-0.38214917090738965,-0.41041652877715507
-0.33787500910597146,-0.3821826555014596,-0.40200291046441805
-0.3326474538989075,-0.37964992442142886,-0.4198092310519925
-0.33148870446400025,-0.3781734072317988,-0.4151279387004152
-0.333488729471874,-0.37511151092075323,-0.402670850922469
-0.3332859114841895,-0.3768869358628848,-0.407729495645313
-0.3283386674422033,-0.37422081124917383,-0.4053040917290005
-0.32981390968544844,-0.37262223703289266,-0.3954348859920458
-0.3229040698958485,-0.37148522392313055,-0.40835051862167404
-0.3359281706650421,-0.3722121406713086,-0.39667912782949344
-0.3234194223783007,-0.36827231766834245,-0.4018689373743243
-0.3255026393861087,-0.36920708381338585,-0.3983552631931886
