q=0.8,q=1,q=1.4
-0.0802426442399522,-0.06397422209440151,-0.06823243531108858
-0.08281327059972199,-0.07016002540854771,-0.06602138075228936
-0.09189814874838476,-0.08611600025525945,-0.08992004850407653
-0.09772499439506532,-0.08820327719942611,-0.07963844502084072
-0.09863317232093749,-0.09278736653516972,-0.09934494311107755
-0.11036497605648066,-0.0991333876587035,-0.10444939268359832
-0.11346851644987765,-0.10134277087426113,-0.09854509458357796
-0.1155500065939421,-0.10824590911842336,-0.10823678227617961
-0.11337619101810503,-0.1107609831025087,-0.10651450404083818
-0.12051955751356758,-0.11279008282964043,-0.1063740401257931
-0.12357371115524529,-0.1171531734959359,-0.1155453735748111
-0.12871432115981918,-0.1235886103434467,-0.11777397508020471
-0.13753750184441316,-0.12142737261907399,-0.11748074131975272
-0.13667369733700951,-0.12938478499240347,-0.12711560250213694
-0.1412810580850632,-0.13321557390266747,-0.14197199714517694
-0.13302288810125873,-0.13753271320847915,-0.1385288091358845
-0.15240976562104436,-0.1343893453518774,-0.14298294746883755
-0.14871126504020538,-0.14102173146578423,-0.14704931638273422
-0.15001548600447023,-0.1374976519880704,-0.1501305641993369
-0.16140803255244407,-0.14361293501617212,-0.14539468772409236
-0.15693090698587753,-0.1456311548243434,-0.14015995357512168
-0.1560936968752813,-0.14422905743158765,-0.1409935005221854
-0.16338781134196978,-0.1478441605957883,-0.14867616899911695
-0.16810978254647324,-0.15155113762735795,-0.15047218229967996
-0.16585267782559043,-0.14593088168282264,-0.14241824298936478
-0.16064992372625397,-0.15069409241843346,-0.14420809592311912
-0.16670368148876236,-0.1580756494358937,-0.15914407606146597
-0.17130732135230886,-0.15661659811250672,-0.15835183747097403
-0.16931614356209224,-0.1572851734587033,-0.14645528357051063
-0.17082715420463046,-0.15701678462672675,-0.15993603298836234
-0.16463907604892114,-0.15808912027654287,-0.15739655952149434
-0.16808476077685697,-0.15957924322216854,-0.14935252048336878
-0.17393595401091488,-0.15822342757736862,-0.1654506016028705
-0.1722922420082611,-0.1631411609444413,-0.16859861298034673
-0.17313448356311056,-0.16697902987296231,-0.16250483652051884
-0.17644863940221,-0.1682551773060652,-0.16419764425910444
-0.17152347114900124,-0.161923323661064,-0.15954053316460204
-0.17954204626387593,-0.16962089169705763,-0.15689456300384563
-0.17323125322447197,-0.17007682739705388,-0.15897380953767737
-0.18220435080421993,-0.16867647604836833,-0.17182543958437435
-0.1805930562301299,-0.16594690790579136,-0.1669323424007203
-0.1792449406483243,-0.16907292087792314,-0.17597990023774912
-0.18619856075356722,-0.1758358977069392,-0.16979482964460146
-0.1842995643947276,-0.1718320799396338,-0.17590744456362017
-0.17992468719407384,-0.17435127154761432,-0.18397103436944917
-0.19041181326336698,-0.17376320126511757,-0.1768642789030892
