q=0.8,q=1,q=1.4
-0.15838186428683798,-0.21041813444210788,-0.33602888173362544
-0.14298410878052437,-0.20814105635497526,-0.331504709080491
-0.18300596541871528,-0.20904006386217588,-0.32695182656118504
-0.1537665074693848,-0.20455196724080338,-0.3650648610279461
-0.15992045724445347,-0.20703234653564095,-0.2937461116741531
-0.1430025823823371,-0.20341962423214,-0.3234495195840168
-0.19049749851092201,-0.2004064269047774,-0.3240229399486054
-0.1496566755973845,-0.1948430049055787,-0.330010494202412
-0.13048130704351024,-0.20114496483529365,-0.30748227446889587
-0.110054695143873,-0.1931964768161265,-0.340500438243879
-0.1281917298326789,-0.19725404847230266,-0.3187042866383649
-0.12558307814586556,-0.19599442645707654,-0.3232078996625489
-0.15573642320003955,-0.20001847932655892,-0.32607371277913444
-0.1430568377616055,-0.19604137961198376,-0.3267586484063827
-0.12214462643194679,-0.19500758640748472,-0.33422344238923074
-0.10747633037371429,-0.19137493044135567,-0.34178969451596686
-0.13430597829920998,-0.19152784718573912,-0.33948624363057434
-0.13752788065366417,-0.19193500240351113,-0.3383032906247081
-0.1245645043962611,-0.19814904262213417,-0.32579950826126947
-0.12714266658781526,-0.1935079167362801,-0.3244054343463745
-0.121861769535343,-0.19092663099203833,-0.32124787562597135
-0.13353876883377325,-0.1863158831306464,-0.3167591618969823
-0.1475193814341651,-0.1870538522955485,-0.3026309610207534
-0.14194674993640888,-0.19064478329133294,-0.3098397083236364
-0.12529746929510566,-0.18905938194114924,-0.32034456926893995
-0.1383590153780574,-0.18820389788953662,-0.32715128226379875
-0.1653188403460888,-0.1882362841792542,-0.329454628870252
-0.12981173241513488,-0.19066000397023686,-0.3034807098898682
-0.13817306782806327,-0.18402612773945748,-0.2942102117647778
-0.14096152993454325,-0.1889475810646104,-0.3007014161173913
-0.12857934098940405,-0.18351335672142,-0.31343263989762704
-0.13399741559862832,-0.18318008352918014,-0.29636292176132883
-0.12140048362516609,-0.18434988801666918,-0.32965695196187994
-0.12445640702512151,-0.18367275685849904,-0.3177838819809722
-0.12539872442727074,-0.18124361225500252,-0.2988499500648061
-0.14244277736358413,-0.18092221980163004,-0.33722511517873954
-0.12983374746474396,-0.1822171832088486,-0.30566112642904386
-0.13401414181188898,-0.1808623221756136,-0.30797210911589445
-0.12676983924623642,-0.17988506175703378,-0.3169464218688347
-0.14533041988326545,-0.18408476863757528,-0.30790473697712173
-0.12666402087003803,-0.18310581598780118,-0.31336611465761166
-0.1527447754942841,-0.18106917044906368,-0.28469617136582315
-0.15552442116498355,-0.18125206275868777,-0.3229518072193116
-0.12677783206126492,-0.17809927761291533,-0.2857614482593931
-0.14908465981656605,-0.1783977765975635,-0.2700045087556475
-0.14673860602343325,-0.1794731700537966,-0.3016289730142603
