q=0.8,q=1,q=1.4
-0.1044297863744248,-0.13618046770460523,-0.16403735144413645
-0.12043494116187503,-0.13535791481174897,-0.2084384905250829
-0.14436329990155627,-0.1416177966542307,-0.23768981497559594
-0.09536291184261358,-0.13335034088080988,-0.22064153930318753
-0.1047634031435507,-0.13080496800893116,-0.24148077726911765
-0.13297061209229355,-0.13003488951392228,-0.1754995145213627
-0.14700869525009352,-0.1278182380215469,-0.23595739850267705
-0.1362959839876794,-0.12773214201698124,-0.1894439341664622
-0.12878724271320152,-0.12597009896722966,-0.1857113924561702
-0.13101194855718745,-0.1267234979321472,-0.197946973970744
-0.12872924535227526,-0.12393145413543039,-0.18144489391266916
-0.1142595186330766,-0.1260760519000712,-0.21700902059674831
-0.12902883750231808,-0.128926696989339,-0.2408336997175411
-0.1162508174683694,-0.12028301168578537,-0.18719183067548784
-0.128104110213485,-0.12372160912676122,-0.2297300391145427
-0.12080114014850096,-0.12044949004567229,-0.1853611205903576
-0.12208164336448135,-0.12060804039467143,-0.20122504720620782
-0.13351999883437315,-0.11617825999047682,-0.2019990907061242
-0.11496359509033027,-0.12477674245624826,-0.17924662031441585
-0.13762501672744065,-0.12294212908881264,-0.20560186957990823
-0.12665449538820894,-0.12032240297563135,-0.21562822688525785
-0.11772839535638013,-0.11906492173707761,-0.18783378761051495
-0.12133742223920763,-0.11985738194749729,-0.1762737082675585
-0.1220781042943031,-0.1201611854695841,-0.19621053998352522
-0.12562798866832736,-0.11952200224075682,-0.16875058378084873
-0.14168396013437246,-0.12060409013523099,-0.1928780790520932
-0.13326826603540098,-0.11926214710163663,-0.17200403988985613
-0.14291710607886898,-0.11355502756970282,-0.16477987529756888
-0.11508625987301002,-0.11508137424183928,-0.18404382618032855
-0.13013130499587078,-0.10915654832018618,-0.20041237711023996
-0.13133954643313928,-0.11778858332002073,-0.19668823102978195
-0.12277748304822467,-0.1191557676319519,-0.1640074273321943
-0.1231850256173459,-0.11401248869591996,-0.19710095034201913
-0.1415425120166276,-0.11271951314191142,-0.20294677867005362
-0.14478728650982475,-0.11555580150468359,-0.1874972090309086
-0.12177137631448431,-0.11009803508838445,-0.16397017672352376
-0.1334904927401226,-0.11428901020119042,-0.1887281128813072
-0.1329108287123688,-0.11561116806024074,-0.18322553169190314
-0.12350879252932145,-0.11175957562457484,-0.1548048094252863
-0.13147743313555793,-0.11472400494059798,-0.19588961145771577
-0.12941089287855334,-0.11336631365034577,-0.1532741505286026
-0.137668813144046,-0.11096669056078667,-0.18548034067191566
-0.13888643966441805,-0.11405220273024952,-0.1973999899431078
-0.15502802785132985,-0.11177010291555689,-0.17649926409035288
-0.1443808034638039,-0.10761871274596047,-0.18340233561619357
-0.13320423040505602,-0.11322801332349286,-0.17243440253776043
