q=0.8,q=1,q=1.4
-0.015462005257631972,-0.013229980939939878,0.05103019475745896
-0.01387547633964914,-0.016977453793458608,-0.02122158913562089
-0.014685095781430846,-0.015197407637799643,-0.06450563385499208
-0.025409704946895317,-0.01176191446984376,-0.050651175092781386
-0.02774156970778563,-0.0165551470301466,-0.054722700865568186
-0.01010753284748489,-0.011939327566267366,-0.07809454078645217
-0.009205902392949383,-0.01651097164412363,-0.034215177790969165
-0.0088163408173898,-0.014844954186258974,-0.05343070144721196
-0.011007105869794032,-0.008764975173107814,-0.04770118847096683
-0.0038896107187156304,-0.009207772114677937,-0.020866049845665202
-0.016766355742731776,-0.011014746771792261,-0.06693941545105986
-0.011302127632518477,-0.008186065506919249,-0.061422514430262254
-0.010851129542032822,-0.01768830661697507,-0.030619436573886105
-0.014144250392973845,-0.015992885067504403,-0.03633135992674852
-0.01314617634218962,-0.013406913615710891,-0.05139042585659581
-0.010327177341963534,-0.018867744008844056,-0.041004738917820305
-0.013232350846863028,-0.010193459190645626,-0.05956028712367356
-0.007596681318318588,-0.012713088064998601,-0.020539130845065756
-0.010604431715592,-0.0094778456590916,-0.043685354014485256
-0.0067126947102451595,-0.017281067057695054,-0.059124645593385594
-0.007863305058549486,-0.015394114284760008,-0.023435085103415076
-0.010712763561542715,-0.013267863669398139,-0.04110586614464751
-0.016791567599511836,-0.011152401804451983,-0.021909461128757357
-0.010801120926487329,-0.016627274479759535,-0.02657973688627635
-0.009371577866403413,-0.015409577955153964,-0.045070882704038695
-0.01217868943641065,-0.012586472290195161,-0.03221184424367607
-0.008539290860142046,-0.011098378055180547,-0.07370255477920296
-0.014006755177121022,-0.010560348488951377,-0.03365169846273375
-0.015278140204230795,-0.01559034349750732,-0.04648942065043116
-0.01695188685971516,-0.015952407882224406,-0.03630540432510543
-0.013014552169295257,-0.016902714466539237,-0.06453582773852418
-0.006563275326186613,-0.009292349409093958,-0.026167077204263478
-0.005689800778895915,-0.014412050751673178,-0.025019773740211804
-0.008615544473286718,-0.013810532094396422,-0.023607783380725778
-0.005708976610918626,-0.01564773851987411,-0.028347297470730837
-0.012153118399680807,-0.012612237297275897,-0.023408732572050894
-0.010822963957423326,-0.01288569409555862,-0.04742337044052647
-0.007941938703055484,-0.013779296591508228,-0.027588117133149126
-0.013246025766648017,-0.013909354502459337,-0.034624733804179186
-0.011675891274137484,-0.009190285834904444,-0.01746729656653656
-0.011072320057081697,-0.013104093284596274,-0.04255687341344583
-0.011760119349190745,-0.01160347445897969,-0.014247517634828455
-0.010036159127452038,-0.015856299531435525,-0.04608482682189674
-0.012063591604118074,-0.013794651417896375,-0.02106808889712397
-0.01624292546767947,-0.012260989392245847,-0.014492762244486812
-0.008329947587554898,-0.010055331106769927,0.004262498526941272
