q=0.8,q=1,q=1.4
-0.00861908330585237,0.005981740185355022,0.009898791925920136
-0.004471030874945825,-0.007199685539639233,-0.012292216416568635
-0.0064272054554876945,-0.01580771881224763,-0.0042133965427026965
-0.01897934546636293,-0.009959359586915184,-0.018385084639589877
-0.02120519047485203,-0.020777853948459324,-0.02322224783129201
-0.02521697268289813,-0.021436542494825517,-0.018678386240793543
-0.018189188082040175,-0.009837869372759656,-0.027181814204766397
-0.018170831976519253,-0.015450290363780539,-0.02546991592252823
-0.017376072832426814,-0.026442663641603303,-0.020771074378735932
-0.014717985181810889,-0.016161891558454045,-0.04655928065143655
-0.018503333521799448,-0.024460197635463032,-0.06039541815390237
-0.016938061793062786,-0.020956844405475294,-0.03750101978593534
-0.016799692285843548,-0.018062511515594792,-0.0438560264657184
-0.020771051467072255,-0.016883296929108838,-0.037662444512370996
-0.021420183365812306,-0.013595758097437738,-0.0390649879438385
-0.023672382973700223,-0.022677577711149866,-0.056374386244414154
-0.03273786368168885,-0.02087492803523361,-0.04713954250092911
-0.02345728941202907,-0.024431774059308964,-0.03770335828509275
-0.02953027200246794,-0.033125913546669494,-0.038277827372752427
-0.025708632954952293,-0.02245009258967201,-0.04855370396584391
-0.027954730320850274,-0.03018903482067259,-0.0435021448877535
-0.028725926469320484,-0.026397943527776135,-0.057359237486096504
-0.028457700777373418,-0.032398653265836685,-0.03573622736061566
-0.02651259659676697,-0.026986582050895436,-0.03608733505917883
-0.02881259188242069,-0.025873800771137212,-0.053381196740375
-0.029145715301766018,-0.03496870548145381,-0.0603242053249744
-0.029337163346383477,-0.03167362715196731,-0.05014612364838911
-0.031590533616913774,-0.026853847150555055,-0.048998977774168395
-0.03559017492815286,-0.030692987782821035,-0.052817122122888804
-0.030999962296988315,-0.026953445084544114,-0.043721328140506444
-0.02874183487699611,-0.030690097987964293,-0.055547543539546496
-0.02988014533266181,-0.036380118727933564,-0.04642333546958355
-0.0307006514521575,-0.030786941075710672,-0.06159642267596155
-0.027918089804813917,-0.030597477533930828,-0.0458867112056609
-0.027176425227615653,-0.03370867196316851,-0.0416448896636723
-0.030583478941522912,-0.029859455304467986,-0.051963172110255584
-0.03535572942605114,-0.032032408627394204,-0.06919276603537838
-0.034238582738041146,-0.03777329919999772,-0.04626670182115333
-0.03181627985375712,-0.03564185919860563,-0.05693158752959704
-0.027109023853682856,-0.03828077435499466,-0.06545824908454279
-0.029936196654169578,-0.033990537841766866,-0.05344230693523855
-0.03223017268701511,-0.03471655504628046,-0.053904028487757216
-0.030864056183382615,-0.036245946658418404,-0.05352958079222958
-0.03362066920215767,-0.037510215189790586,-0.059569735215383446
-0.028466763717460708,-0.03488625281595148,-0.07430867769814853
-0.03257174241069549,-0.0360161791182847,-0.05229179837920839
