q=0.8,q=1,q=1.4
-0.000878781340155399,-0.0019098030409736566,0.00605929267305072
-0.021515552272859395,-0.010357284838292458,-0.023580632952125313
-0.014940137751871418,-0.018420888868170948,0.008391081454973914
-0.02407778584227316,-0.009398495852835254,-0.0225474841657487
-0.01930890802132268,-0.022774935119720396,-0.003260699152164648
-0.02044467915744974,-0.03305032105296135,-0.026897207420269353
-0.019551785084843232,-0.022512336842495984,-0.0245981011843881
-0.02025794703623518,-0.016912322526557944,-0.03743087707670867
-0.022107566917391352,-0.029964642192510382,-0.019453505243930636
-0.018209884297469614,-0.016238414981472715,-0.027571269828015943
-0.024977765281725794,-0.020080599662463783,-0.04787375486937151
-0.022836059205381787,-0.01774829627388641,-0.029968780803059758
-0.024367096880951067,-0.017796560210420864,-0.028108140887709965
-0.027306499283270114,-0.021266464180918376,-0.03606815265349894
-0.024172828053714568,-0.02483500215336676,-0.043088523342916574
-0.029877744592603506,-0.025822210412741242,-0.025069337406542047
-0.03254484405091773,-0.029023125796562965,-0.029823746695655018
-0.03463382742609156,-0.02131744530117885,-0.0407304877250354
-0.03086505398818673,-0.026257183647985016,-0.04203255860755206
-0.03924876038235681,-0.0298226126248764,-0.03501761734467124
-0.03960021091570809,-0.02552228702864312,-0.027714231284427626
-0.030513199837919558,-0.03646874538956979,-0.03963838125851993
-0.03432412985276301,-0.03220605364349183,-0.04576578004199661
-0.03988769295097683,-0.033244448981022856,-0.02954969542744834
-0.03957281470227514,-0.035359455644538684,-0.0395711672452137
-0.031404359521999936,-0.03683187796146825,-0.0538044297107092
-0.030872235507999335,-0.03268296641631707,-0.04272221128437792
-0.036399380671632287,-0.0296349510720475,-0.043357601366579956
-0.032274536955924304,-0.03514943581568275,-0.039332396393746194
-0.03549220285234611,-0.03573152383756195,-0.05020283618951282
-0.03974344565038734,-0.031580818088066565,-0.06235660415223521
-0.03937340370329423,-0.03903710033297614,-0.03465898952095614
-0.038269318139349195,-0.03419462093943082,-0.04672931556741844
-0.039998251010629815,-0.030590030633810272,-0.04661653980130609
-0.038691404614851876,-0.03165981514597149,-0.07105824043092213
-0.037163071657424496,-0.03239250533358984,-0.052196934508430104
-0.034834248853051974,-0.03720102876008724,-0.0456122943974151
-0.0349127113749077,-0.03464628023269256,-0.04743351186800027
-0.03929588063628131,-0.038798773888110816,-0.035366415245114524
-0.03920953370018054,-0.034415802742742585,-0.05355046543587605
-0.04526563515044302,-0.04044209667141274,-0.05829284271205637
-0.03594909183365047,-0.041003482472476094,-0.041950075670975195
-0.040467381473725084,-0.04044663314691377,-0.06187209474240518
-0.035300352472027896,-0.03681835807019951,-0.05872457848171564
-0.03751537330545318,-0.040931943911267865,-0.05648127647817347
-0.04307517634384794,-0.04027486634667099,-0.05735344040634516
