q=0.8,q=1,q=1.4
-4.911227783763234,-5.068856594670622,-5.160647946908609
-4.782087594485674,-4.927756524807652,-5.006084032284333
-4.666208288876216,-4.806843105556132,-4.868917826991048
-4.573032748257649,-4.708425890132073,-4.76758504055287
-4.486597799421567,-4.616034051221241,-4.661628893882947
-4.407168408703718,-4.535110087936724,-4.572928311651365
-4.337793115487985,-4.464381100617334,-4.499958974411394
-4.274351287175282,-4.396932966698742,-4.4266092246632684
-4.214259382766089,-4.335404977217259,-4.358946688039159
-4.155820902896849,-4.278661453589105,-4.297026301085378
-4.103003389476656,-4.219908457104827,-4.232776700359759
-4.0587294079057905,-4.173211165520419,-4.1813035164793995
-4.014265015772185,-4.1290835593842825,-4.138986012204187
-3.973047250461679,-4.087541283464287,-4.096982150843981
-3.9306179082114188,-4.046988984110893,-4.055147532268423
-3.895009198768694,-4.011338633433224,-4.019679026142779
-3.8643518120370413,-3.9778989474382875,-3.983079426864508
-3.829110716475233,-3.943576555635328,-3.9490020458019544
-3.793265980423609,-3.90977281602102,-3.9149513692139806
-3.76136521073766,-3.8779854707316765,-3.8828666995460104
-3.729975500600064,-3.845414007333371,-3.8482346911266294
-3.6962383241025094,-3.8146826864872434,-3.819817460379701
-3.6723864093404988,-3.7892890313230208,-3.793590118683829
-3.6436127593125,-3.7598355752620964,-3.7650176101894974
-3.6186364845047567,-3.734785401889109,-3.739672205696829
-3.5949236489514735,-3.708930379161181,-3.7118973214631
-3.5708191193180667,-3.6840410906537073,-3.6873256814304423
-3.5456481006233513,-3.659171673561527,-3.6616680885366026
-3.5218162218732427,-3.6344968688263197,-3.6358745071855676
-3.4990751165921115,-3.6121999017745807,-3.6138753611179535
-3.4784496020702456,-3.5913006188246506,-3.592897790623889
-3.4576723622797036,-3.570400266646688,-3.5723308872084196
-3.4396061401181246,-3.5514654114695965,-3.5537137689325924
-3.4204962994193355,-3.5321579468006075,-3.5344124212105257
-3.3994655552254915,-3.512606775772733,-3.5158105974192644
-3.3816372463528968,-3.4948233642491555,-3.49822461697479
-3.3621538818186565,-3.4745503664339896,-3.478022902983575
-3.345291175330022,-3.456752749763231,-3.459696809443214
-3.328987068229651,-3.439716777015608,-3.442242241618029
-3.3123203439441475,-3.423687892537256,-3.4269872595421393
-3.295489815571951,-3.4071711993973413,-3.410413539262077
-3.281355941001028,-3.3921936956454086,-3.3950257940235584
-3.2667247969149837,-3.377075657011339,-3.3791046291713442
-3.2518468831121403,-3.362202427866153,-3.3641327850917726
-3.2379493931273196,-3.3481544080289662,-3.3506473845062743
-3.2230131931369836,-3.3332105161698014,-3.3358086048377267
