q=0.8,q=1,q=1.4
-0.11149243483028215,-0.08088683782199979,-0.06388486492379997
-0.10619080158957672,-0.08006724552463851,-0.12349532621776405
-0.11374912670437709,-0.10205210593133529,-0.12764782828998733
-0.11697545354910233,-0.10159543195555187,-0.13750824139006568
-0.12832617780679811,-0.1186412623124582,-0.13065405836098876
-0.13594129781024122,-0.11001112874948404,-0.17068222490154028
-0.12486980253778768,-0.10542926730322932,-0.16147846758678241
-0.12329862649679768,-0.11768725236261446,-0.1344460621768846
-0.13378793416668344,-0.11686856663766321,-0.15557880967873672
-0.1376927411075357,-0.11132072804385729,-0.17575576137998183
-0.12634546806467029,-0.1144489683805574,-0.17236370606282492
-0.1337478599506099,-0.12712846446259363,-0.1517719107931228
-0.13727243830699365,-0.1263128055080216,-0.15639890602683693
-0.12981307963250543,-0.1198092875700354,-0.13898312564916893
-0.13853535004945883,-0.12520385346933693,-0.17107707372706216
-0.13269900594868034,-0.128236308825862,-0.17522476966126987
-0.1377423208448505,-0.1266502229897668,-0.1852746186396388
-0.14786113561513758,-0.13087650818054186,-0.16764648304391017
-0.13767092820487647,-0.13303349815727472,-0.18557726503338046
-0.1358573447677287,-0.13579384557096574,-0.16301030933303196
-0.14196993787247436,-0.13962114194121966,-0.186498201406458
-0.14926222346941387,-0.13776620216711422,-0.2043948654332226
-0.14619328260231157,-0.14603396878107588,-0.18565711179800815
-0.15542902923193935,-0.14701190697392263,-0.1877140782569029
-0.148497191532023,-0.13195989256273322,-0.1987840990703873
-0.15214637236067574,-0.1455767640959138,-0.19005984505126605
-0.15009865584666926,-0.14655689558088625,-0.1858978577649708
-0.13792634714121732,-0.13760560221215457,-0.20639358627928317
-0.15040952972542954,-0.14839347634654132,-0.2012680898128849
-0.1477174905950278,-0.13469825526764367,-0.2300235118180609
-0.14945185649116866,-0.149551016552401,-0.2010537629555884
-0.14651070335963112,-0.14485006724834193,-0.2349537197162661
-0.1635809145174676,-0.1456606319523459,-0.2202778075909606
-0.151213013419202,-0.14111104296931387,-0.20044592227628044
-0.1525555231917295,-0.14932621602503815,-0.1852203666782657
-0.16274683107425858,-0.1476642865780633,-0.19011872613904757
-0.1490905407632539,-0.15956109221735915,-0.15351307237928324
-0.15680519761453837,-0.15211866927133144,-0.2077956319936476
-0.14749082535598745,-0.15075009949848805,-0.21401045163354837
-0.15055709737455913,-0.15314919871377697,-0.20622122066261994
-0.15868864649902292,-0.1460950537390886,-0.24264734476122385
-0.1583538949833425,-0.15171052346097014,-0.1992113660346746
-0.16386519805372046,-0.15993585779031605,-0.19173494003416636
-0.1554857764350146,-0.1658436808649526,-0.1879746612732518
-0.1583063225226624,-0.14201600227733024,-0.22368961076999483
-0.16373192152466487,-0.15957690344308162,-0.22272059710734027
