q=0.8,q=1,q=1.4
-0.09219461557277953,-0.08718950732382069,-0.08433202741054657
-0.11451390577965981,-0.09481864169297438,-0.12352292367870632
-0.12140861885836784,-0.09493117919322458,-0.1224737749300786
-0.11849935525758326,-0.10178909303744632,-0.12668389584729312
-0.12154183525986184,-0.11489062171123265,-0.16011466717324652
-0.12623679468553206,-0.11813523530113201,-0.15744965827573765
-0.11767094856558913,-0.10864501596778808,-0.1672572365537448
-0.14226674377980686,-0.1074762056940699,-0.18064777057465875
-0.123294109392738,-0.12276279317779881,-0.19184694758389043
-0.13740752485576735,-0.11598065065096108,-0.1566646387643189
-0.13846344463638616,-0.1250196237732979,-0.1661981828869159
-0.12309943565237091,-0.12698359996571895,-0.16831455026885322
-0.12350935863194934,-0.12202829120126069,-0.1561210908109416
-0.13545552913776504,-0.1284092938393968,-0.16824789199251455
-0.13436968340850086,-0.12093137150302624,-0.18380464071969982
-0.1439194531110104,-0.1342744186101612,-0.20997889496912592
-0.13402054095637084,-0.13761749627174424,-0.18276567735209426
-0.14921746283199155,-0.13469033381601747,-0.1910425528356967
-0.15246586007005902,-0.1328730768782691,-0.17556781217776773
-0.14828829720758563,-0.13679333880099165,-0.178137070072097
-0.15165685269060702,-0.14305937944907043,-0.16091555405096614
-0.14639675436549027,-0.1400770284723194,-0.17773007139080477
-0.13906405702624625,-0.1367438610545335,-0.16584042228102192
-0.15319897175129427,-0.1373532393551855,-0.16313959381882626
-0.148476929098031,-0.14041315717130942,-0.1996613268080054
-0.15202783184427915,-0.14501507902735256,-0.1847088746591794
-0.15046211926098607,-0.1429478222782592,-0.17213000775804232
-0.14731768176477544,-0.1386517790243218,-0.15279821601988175
-0.14999001439230852,-0.14769357212676937,-0.19080626733082795
-0.15364899845791058,-0.13982317718807025,-0.19618444420891024
-0.16139347056547138,-0.15354676526460054,-0.17881745786913683
-0.15257653121290815,-0.15522325673308046,-0.2093859685524606
-0.1604509145138735,-0.15225474365697522,-0.1675573055196793
-0.15525953486753252,-0.14200645934154466,-0.21315502139660936
-0.15690767746043122,-0.1479708228110539,-0.23437131485191287
-0.1458796634779702,-0.14646731070415342,-0.205510048579427
-0.16185529491733064,-0.15903926108327937,-0.19296177910128165
-0.14728031831888444,-0.14748594732546394,-0.21943398999333397
-0.16827400362770106,-0.14619142190436918,-0.21760293920676332
-0.15207594615452535,-0.15878864324866981,-0.2575030655493791
-0.16178046753015707,-0.15781495437462922,-0.1801407672084281
-0.15558797196221263,-0.15097246729273905,-0.17970566903656504
-0.15435160269404236,-0.14631977875632174,-0.17830111108922608
-0.15045185752323675,-0.1412633007554689,-0.21044029819417887
-0.15405272082119836,-0.1449537607314113,-0.17911609816540874
-0.15661628878481082,-0.14547027139208524,-0.20859555077952052
