q=0.8,q=1,q=1.4
-0.0819228402926484,-0.08264230735623102,-0.09889075840739991
-0.09102129457309616,-0.10185216431896293,-0.17376660936056965
-0.13149475834033808,-0.10090638294198584,-0.10554154793052106
-0.11348061880363502,-0.10614963532810151,-0.10819343603313314
-0.13589759392525025,-0.11602389614184716,-0.12020923119501958
-0.11771639191827177,-0.11709443840809541,-0.14704195639797035
-0.12673461477653802,-0.11539411744070804,-0.13310483101638937
-0.13506820796566643,-0.11006858160402544,-0.16428876346770238
-0.12632466853614943,-0.12744578869384782,-0.13417835611962659
-0.12617960449713195,-0.11800197721395733,-0.14495882546913919
-0.12992697708189382,-0.1194926430513874,-0.1823698987364395
-0.12685216176718228,-0.122233677879386,-0.18519734794035259
-0.13273545759518868,-0.12358748368787076,-0.19262835512554943
-0.13440992426978227,-0.129023421720305,-0.18370935121712506
-0.14672470348897804,-0.12196415034589592,-0.2040665255331362
-0.13723577298027578,-0.12177999381529503,-0.18353189964265937
-0.1471491285834361,-0.12665102277412643,-0.19615459079984987
-0.13439417432652334,-0.13342164064381024,-0.2076784676121548
-0.14708351741830228,-0.135249000684027,-0.17156296213600086
-0.14768262927965736,-0.13800572478363193,-0.19722036054524494
-0.15068043585215207,-0.14052680524051198,-0.17040849335220543
-0.144382081814733,-0.12941912360273022,-0.16502783725065484
-0.1432358228371271,-0.13363494562337763,-0.2098757821138122
-0.1475112244403789,-0.13736144271819484,-0.20242078051235524
-0.15114445771687457,-0.1426749572386541,-0.16375722827643102
-0.15344330224351665,-0.13127228694556692,-0.2086983843542356
-0.14961360248356215,-0.14905724198345638,-0.19527171452897107
-0.14798852422673292,-0.14426060958722786,-0.15540428375238236
-0.14215467912533342,-0.1363179918094346,-0.1946504917847136
-0.14589899561481445,-0.13761321142205674,-0.19215892383147093
-0.15615311209410265,-0.14360702364779598,-0.21194816521519755
-0.14659507636654467,-0.14898199481457652,-0.183958140960236
-0.1449947446500488,-0.13836450114424537,-0.17958788135241832
-0.16355971958000026,-0.15214163765301691,-0.2517611529438213
-0.15408317255596415,-0.1422809522454358,-0.21201535970308782
-0.15348117138762518,-0.14513516534658777,-0.20909758799551525
-0.16738929565276806,-0.15108773530907627,-0.16764410241535188
-0.1593080329781813,-0.1445256953059868,-0.19987627427178722
-0.1677072702618574,-0.1544168546376241,-0.22529709952014088
-0.1559145682572307,-0.15379459125711037,-0.22300836179869776
-0.15961540159620569,-0.148342628657943,-0.1828206207390366
-0.14958764393454516,-0.15004392852961956,-0.22887806354518148
-0.15111410334569797,-0.15273648027972797,-0.19440822496578392
-0.15953714574304456,-0.14556843206283077,-0.18613045327659705
-0.16085566435131682,-0.1460843137945318,-0.1923905611881338
-0.16969414653190285,-0.15368877035528783,-0.20448547202728662
