q=0.8,q=1,q=1.4
0.09136658379009077,inf,inf
0.10020176163275885,inf,inf
0.06608174805023204,inf,inf
0.07542266748841797,inf,inf
0.06725332344552193,inf,inf
0.07323050795722352,inf,inf
0.06336254036431122,inf,inf
0.07136301236448972,inf,inf
0.04346509582409297,inf,inf
0.040525290389391344,inf,inf
0.05579863055100631,inf,inf
0.06109104677830146,inf,inf
0.04475347284164677,inf,inf
0.050096039033759254,inf,inf
0.041931269379531955,inf,inf
0.0553810063697977,inf,inf
0.040184289813755214,inf,inf
0.05369194857824233,inf,inf
0.040631708095737906,inf,inf
0.0465712075486433,inf,inf
0.052207359925153796,inf,inf
0.04584612542261901,inf,inf
0.043549279174630584,inf,inf
0.03747115325365513,inf,inf
0.0350019673225308,inf,inf
0.04017238513601207,inf,inf
0.02947620923053229,inf,inf
0.03321025552881984,inf,inf
0.03752068313000301,inf,inf
0.03852087373943647,inf,inf
0.03569520977015017,inf,inf
0.0298198181063416,inf,inf
0.03551993448338564,inf,inf
0.03949464154504412,inf,inf
0.03997076607637062,inf,inf
0.027230260175898024,-0.023262851975591303,-0.0779372272581611
0.023343266973647303,-0.016923782325333647,-0.0786028721704195
0.029036180306968973,-0.014542146874495288,-0.07070194713610789
0.02564878262098169,-0.016883222730079694,-0.07045507122923311
0.01723753812555273,-0.0406417935947605,-0.1510166357628524
0.016632441904768314,-0.0389411350761506,-0.13814903897052666
0.01157766327910359,-0.034189905690446665,-0.13373322728163828
0.018935205808134015,-0.04517673530007116,-0.15969061985075506
0.0017638079138144747,-0.0458870043907158,-0.1678255577931349
0.0030291579861998486,-0.04741771346045631,-0.1740919135653396
0.006565216912905569,-0.043763176534962867,-0.16661782279114057
